Passage,,,,,,Flags,,,Type
"745. Public health expert: Increasing the urgency of a public health message may be counterproductive. In addition to irritating the majority who already behave responsibly, it may undermine all government pronouncements on health by convincing people that such messages are overly cautious. And there is no reason to believe that those who ignore measured voices will listen to shouting.

The two sections in boldface play which of the following roles in the public health expert's argument?
A. The first is a conclusion for which support is provided, but it is not the argument's main conclusion; the second is an unsupported premise supporting the argument's main conclusion.
B. The first is a premise supporting the only explicit conclusion; so is the second.
C. The first is the argument's main conclusion; the second supports that conclusion and is itself a conclusion for which support is provided.
D. The first is a premise supporting the argument's only conclusion; the second is that conclusion.
E. The first is the argument's only explicit conclusion; the second is a premise supporting that conclusion.",CR,,,,,5,,,CR
"746. Several industries have recently switched at least partly from older technologies powered by fossil fuels to new technologies powered by electricity. It is thus evident that less fossil fuel is being used as a result of the operations of these industries than would have been used if these industries had retained their older technologies.

Which of the following, if true, most strengthens the argument above?
A. Many of the industries that have switched at least partly to the new technologies have increased their output.
B. Less fossil fuel was used to manufacture the machinery employed in the new technologies than was originally used to manufacture the machinery employed in the older technologies.
C. More electricity is used by those industries that have switched at least partly to the new technologies than by those industries that have not switched.
D. Some of the industries that have switched at least partly to the new technologies still use primarily technologies that are powered by fossil fuels.
E. The amount of fossil fuel used to generate the electricity needed to power the new technologies is less than the amount that would have been used to power the older technologies.",CR,,,,,5,,,CR
"747. The difference in average annual income in favor of employees who have college degrees, compared with those who do not have such degrees, doubled between 1980 and 1990. Some analysts have hypothesized that increased competition between employers for employees with college degrees drove up income for such employees.

Which of the following, if true, most seriously undermines the explanation described above?
A. During the 1980s a growing percentage of college graduates, unable to find jobs requiring a college degree, took unskilled jobs.
B. The average age of all employees increased slightly during the 1980s.
C. The unemployment rate changed very little throughout most of the 1980s.
D. From 1980 to 1990, the difference in average income between employees with advanced degrees and those with bachelor's degrees also increased.
E. During the 1980s there were some employees with no college degree who earned incomes comparable to the top incomes earned by employees with a college degree.",CR,,,,,5,,,CR
"748. Which of the following most logically completes the passage?

According to the last pre-election poll in Whippleton, most voters believe that the three problems government needs to address, in order of importance, are pollution, crime, and unemployment. Yet in the election, candidates from parties perceived as strongly against pollution were defeated, while those elected were all from parties with a history of opposing legislation designed to reduce pollution. These results should not be taken to indicate that the poll was inaccurate, however, since __________.
A. some voters in Whippleton do not believe that pollution needs to be reduced
B. every candidate who was defeated had a strong antipollution record
C. there were no issues other than crime, unemployment, and pollution on which the candidates had significant differences of opinion
D. all the candidates who were elected were perceived as being stronger against both crime and unemployment than the candidates who were defeated
E. many of the people who voted in the election refused to participate in the poll",CR,,,,,5,,,CR
"749. Manufacturing plants in Arundia have recently been acquired in substantial numbers by investors from abroad. Arundian politicians are proposing legislative action to stop such investment, justifying the proposal by arguing that foreign investors, opportunistically exploiting a recent fall in the value of the Arundian currency, were able to buy Arundian assets at less than their true value.

Which of the following, if true, casts the most serious doubt on the adequacy of the Arundian politicians' justification for the proposed legislation?
A. The Arundian government originally welcomed the fall in the value of the Arundian currency because the fall made Arundian exports more competitive on international markets.
B. Foreign investors who acquired Arundian manufacturing plants generally did so with no intention of keeping and running those plants over the long term.
C. Without the recent fall in the value of the Arundian currency, many of the Arundian assets bought by foreign investors would have been beyond the financial reach of those investors.
D. In Concordia, a country broadly similar to Arundia, the share of manufacturing assets that is foreign-controlled is 60 percent higher than it is in Arundia.
E. The true value of an investment is determined by the value of the profits from it, and the low value of the Arundian currency has depressed the value of any profits earned by foreign investors from Arundian assets.",CR,,,,,5,,,CR
"750. Proposal: Carbon dioxide and methane in the atmosphere block the escape of heat into space. So, emission of these ""greenhouse"" gases contributes to global warming. In order to reduce global warming, emission of greenhouse gases needs to be reduced. Therefore, the methane now emitted from open landfills should instead be burned to produce electricity.
Objection: The burning of methane generates carbon dioxide that is released into the atmosphere.

Which of the following, if true, most adequately counters the objection made to the proposal?
A. Every time a human being or other mammal exhales, there is some carbon dioxide released into the air.
B. The conversion of methane to electricity would occur at a considerable distance from the landfills.
C. The methane that is used to generate electricity would generally be used as a substitute for a fuel that does not produce any greenhouse gases when burned.
D. Methane in the atmosphere is more effective in blocking the escape of heat from the Earth than is carbon dioxide.
E. The amount of methane emitted from the landfills could be reduced if the materials whose decomposition produces methane were not discarded but recycled.",CR,,,,,5,,,CR
"751. Proposed new safety rules for the Beach City airport would lengthen considerably the minimum time between takeoffs from the airport. In consequence, the airport would be able to accommodate 10 percent fewer flights than currently use the airport daily. The city's operating budget depends heavily on taxes generated by tourist spending, and most of the tourists come by plane. Therefore, the proposed new safety rules, if adopted, will reduce the revenue available for the operating budget.

The argument depends on assuming which of the following?
A. There are no periods of the day during which the interval between flights taking off from the airport is significantly greater than the currently allowed minimum.
B. Few, if any, of the tourists who use the Beach City airport do so when their main destination is a neighboring community and not Beach City itself.
C. If the proposed safety rules are adopted, the reduction in tourist numbers will not result mainly from a reduction in the number of tourists who spend relatively little in Beach City.
D. Increasing the minimum time between takeoffs is the only way to achieve necessary safety improvements without a large expenditure by the city government on airport enhancements.
E. The response to the adoption of the new safety rules would not include a large increase in the number of passengers per flight.",CR,,,,,5,,,CR
"752. The introduction of new drugs into the market is frequently prevented by a shortage of human subjects for the clinical trials needed to show that the drugs are safe and effective. Since the lives and health of people in future generations may depend on treatments that are currently experimental, practicing physicians are morally in the wrong when, in the absence of any treatment proven to be effective, they fail to encourage suitable patients to volunteer for clinical trials.

Which of the following, if true, casts most doubt on the conclusion of the argument?
A. Many drugs undergoing clinical trials are intended for the treatment of conditions for which there is currently no effective treatment.
B. Patients do not share the physician's professional concern for public health, but everyone has a moral obligation to alleviate suffering when able to do so.
C. Usually, half the patients in a clinical trial serve as a control group and receive a nonactive drug in place of the drug being tested.
D. An experimental drug cannot legally be made available to patients unless those patients are subjects in clinical trials of the drug.
E. Physicians have an overriding moral and legal duty to care for the health and safety of their current patients.",CR,,,,,5,,,CR
"753. As a construction material, bamboo is as strong as steel and sturdier than concrete. Moreover, in tropical areas, bamboo is a much less expensive construction material than either steel or concrete and is always readily available. In tropical areas, therefore, building with bamboo makes better economic sense than building with steel or concrete, except where land values are high.

Which of the following, if true, most helps to explain the exception noted above?
A. Buildings constructed of bamboo are less likely to suffer earthquake damage than are steel and concrete buildings.
B. Bamboo is unsuitable as a building material for multistory buildings.
C. In order to protect it from being damaged by termites and beetles, bamboo must be soaked, at some expense, in a preservative.
D. In some tropical areas, bamboo is used to make the scaffolding that is used during large construction projects.
E. Bamboo growing in an area where land values are increasing is often cleared to make way for construction.",CR,,,,,5,,,CR
"754. The country of Virodia has, until now, been barely self-sufficient in both meat and grain. Greater prosperity there has gone hand in hand with steadily increasing per capita consumption of meat, and it takes several pounds of grain used as feed to produce one pound of meat. Per capita income is almost certain to rise further, yet increases in domestic grain production are unlikely.

Which of the following is most strongly supported by the information given?
A. Some land in Virodia that is currently used for grain production will soon be turned into pastureland for grazing cattle for meat.
B. In the future, per capita income in Virodia is unlikely to increase as rapidly as it has in the past.
C. In Virodia, the amount of grain it takes to produce one pound of meat is likely to increase in coming years.
D. Grain is soon likely to make up a larger proportion of the average Virodian's diet than ever before.
E. Virodia is likely to become an importer of grain or meat or both.",CR,,,,,5,,,CR
"755. Newspaper editors should not allow reporters to write the headlines for their own stories. The reason for this is that, while the headlines that reporters themselves write are often clever, what typically makes them clever is that they allude to little-known information that is familiar to the reporter but that never appears explicitly in the story itself.

Which of the following, if true, most strengthens the argument?
A. The reporter who writes a story is usually better placed than the reporter's editor is to judge what the story's most newsworthy features are.
B. To write a headline that is clever, a person must have sufficient understanding of the story that the headline accompanies.
C. Most reporters rarely bother to find out how other reporters have written stories and headlines about the same events that they themselves have covered.
D. For virtually any story that a reporter writes, there are at least a few people who know more about the story's subject matter than does the reporter.
E. The kind of headlines that newspaper editors want are those that anyone who has read a reporter's story in its entirety will recognize as clever.",CR,,,,,5,,,CR
"756. Scientists have modified feed corn genetically, increasing its resistance to insect pests. Farmers who tried out the genetically modified corn last season applied less insecticide to their corn fields and still got yields comparable to those they would have gotten with ordinary corn. Ordinary corn seed, however, costs less, and what these farmers saved on insecticide rarely exceeded their extra costs for seed. Therefore, for most feed-corn farmers, switching to genetically modified seed would be unlikely to increase profits.

Which of the following would it be most useful to know in order to evaluate the argument?
A. Whether there are insect pests that sometimes reduce feed-corn yields, but against which commonly used insecticides and the genetic modification are equally ineffective
B. Whether the price that farmers receive for feed corn has remained steady over the past few years
C. Whether the insecticides typically used on feed corn tend to be more expensive than insecticides typically used on other crops
D. Whether most of the farmers who tried the genetically modified corn last season applied more insecticide than was actually necessary
E. Whether, for most farmers who plant feed corn, it is their most profitable crop",CR,,,,,5,,,CR
"757. Debater: The average amount of overtime per month worked by an employee in the manufacturing division of the Haglut Corporation is 14 hours. Most employees of the Haglut Corporation work in the manufacturing division. Furthermore, the average amount of overtime per month worked by any employee in the company generally does not fluctuate much from month to month. Therefore, each month, most employees of the Haglut Corporation almost certainly work at least some overtime.

The debater's argument is most vulnerable to criticism on which of these grounds?
A. It takes for granted that the manufacturing division is a typical division of the corporation with regard to the average amount of overtime its employees work each month.
B. It takes for granted that if a certain average amount of overtime is worked each month by each employee of the Haglut Corporation, then approximately the same amount of overtime must be worked each month by each employee of the manufacturing division.
C. It confuses a claim from which the argument's conclusion about the Haglut Corporation would necessarily follow with a claim that would follow from the argument's conclusion only with a high degree of probability.
D. It overlooks the possibility that even if, on average, a certain amount of overtime is worked by the members of some group, many members of that group may work no overtime at all.
E. It overlooks the possibility that even if most employees of the corporation work some overtime each month, any one corporate employee may, in some months, work no overtime.",CR,,,,,5,,,CR
"758. Proponents of the recently introduced tax on sales of new luxury boats had argued that a tax of this sort would be an equitable way to increase government revenue because the admittedly heavy tax burden would fall only on wealthy people, and neither they nor anyone else would suffer any economic hardship. In fact, however, 20 percent of the workers employed by manufacturers of luxury boats have lost their jobs as a direct result of this tax.

The information given, if true, most strongly supports which of the following?
A. The market for luxury boats would have collapsed even if the new tax on luxury boats had been lower.
B. The new tax would produce a net gain in tax revenue for the government only if the yearly total revenue that it generates exceeds the total of any yearly tax-revenue decrease resulting from the workers' loss of jobs.
C. Because many people never buy luxury items, imposing a sales tax on luxury items is the kind of legislative action that does not cost incumbent legislators much popular support.
D. Before the tax was instituted, luxury boats were largely bought by people who were not wealthy.
E. Taxes can be equitable only if their burden is evenly distributed over the entire population.",CR,,,,,5,,,CR
"759. In Wareland last year, 16 percent of licensed drivers under 21 and 11 percent of drivers ages 21–24 were in serious accidents. By contrast, only 3 percent of licensed drivers 65 and older were involved in serious accidents. These figures clearly show that the greater experience and developed habits of caution possessed by drivers in the 65-and-older group make them far safer behind the wheel than the younger drivers are.

Which of the following is an assumption on which the argument depends?
A. Drivers 65 and older do not, on average, drive very many fewer miles per year than drivers 24 and younger.
B. Drivers 65 and older do not constitute a significantly larger percentage of licensed drivers in Wareland than drivers ages 18–24 do.
C. Drivers 65 and older are less likely than are drivers 24 and younger to drive during weather conditions that greatly increase the risk of accidents.
D. The difference between the accident rate of drivers under 21 and of those ages 21–24 is attributable to the greater driving experience of those in the older group.
E. There is no age bracket for which the accident rate is lower than it is for licensed drivers 65 and older.",CR,,,,,5,,,CR
"760. In the past, the country of Malvernia has relied heavily on imported oil. Malvernia recently implemented a program to convert heating systems from oil to natural gas. Malvernia currently produces more natural gas each year than it uses, and oil production in Malvernian oil fields is increasing at a steady pace. If these trends in fuel production and usage continue, therefore, Malvernian reliance on foreign sources for fuel is likely to decline soon.

Which of the following would it be most useful to establish in evaluating the argument?
A. When, if ever, will production of oil in Malvernia outstrip production of natural gas?
B. Is Malvernia among the countries that rely most on imported oil?
C. What proportion of Malvernia's total energy needs is met by hydroelectric, solar, and nuclear power?
D. Is the amount of oil used each year in Malvernia for generating electricity and fuel for transportation increasing?
E. Have any existing oil-burning heating systems in Malvernia already been converted to natural-gas-burning heating systems?",CR,,,,,5,,,CR
"761. Exposure to certain chemicals commonly used in elementary schools as cleaners or pesticides causes allergic reactions in some children. Elementary school nurses in Renston report that the proportion of schoolchildren sent to them for treatment of allergic reactions to those chemicals has increased significantly over the past ten years. Therefore, either Renston's schoolchildren have been exposed to greater quantities of the chemicals or they are more sensitive to them than schoolchildren were ten years ago.

Which of the following is an assumption on which the argument depends?
A. The number of school nurses employed by Renston's elementary schools has not decreased over the past ten years.
B. Children who are allergic to the chemicals are no more likely than other children to have allergies to other substances.
C. Children who have allergic reactions to the chemicals are not more likely to be sent to a school nurse now than they were ten years ago.
D. The chemicals are not commonly used as cleaners or pesticides in houses and apartment buildings in Renston.
E. Children attending elementary school do not make up a larger proportion of Renston's population now than they did ten years ago.",CR,,,,,5,,,CR
"762. Lockeport's commercial fishing boats use gill nets, which kill many of the netted fish, including some fish of endangered species. The fishing commission has proposed requiring the use of tent nets, which do not kill fish; boat crews would then throw back fish of endangered species. Profitable commercial fishing boats in similar areas have already switched over to tent nets. The proposal can therefore be implemented without economic harm to Lockeport's commercial fishing boat operators.

Which of the following, if true, casts the most serious doubt on the argument made for the proposal?
A. In places where the use of tent nets has been mandated, there are typically fewer commercial fishing boats in operation than there were before tent nets came into use.
B. Even when used properly, gill nets require many more repairs than do tent nets.
C. Recreational anglers in Lockeport catch more fish of endangered species than do commercial fishing boats.
D. The endangered species of fish in Lockeport's commercial fishing area did not become endangered as a result of the use of gill nets by fishing fleets.
E. The endangered species of fish caught by Lockeport's commercial fishing fleet are of no commercial value.",CR,,,,,5,,,CR
"763. Normally, the pineal gland governs a person's sleep-wake cycle by secreting melatonin in response to the daily cycle of light and darkness as detected by the eye. Nonetheless, many people who are totally blind due to lesions in the visual cortex of the brain easily maintain a 24-hour sleep-wake cycle. So, the neural pathway by which the pineal gland receives information from the eye probably does not pass through the visual cortex.

For purposes of evaluating the argument, it would be most useful to establish which of the following?
A. Whether melatonin supplements help people who have difficulty maintaining a 24-hour sleep cycle to establish such a pattern
B. Whether the melatonin levels of most totally blind people who successfully maintain a 24-hour sleep-wake cycle change in response to changes in exposure to light and darkness
C. Whether melatonin is the only substance secreted by the pineal gland
D. Whether most people who do not have a 24-hour sleep-wake cycle nevertheless have a cycle of consistent duration
E. Whether there are any people with normal vision whose melatonin levels respond abnormally to periods of light and darkness",CR,,,,,5,,,CR
"764. In countries where automobile insurance includes compensation for whiplash injuries sustained in automobile accidents, reports of having suffered such injuries are twice as frequent as they are in countries where whiplash is not covered. Presently, no objective test for whiplash exists, so it is true that spurious reports of whiplash injuries cannot be readily identified. Nevertheless, these facts do not warrant the conclusion drawn by some commentators that in the countries with the higher rates of reported whiplash injuries, half of the reported cases are spurious. Clearly, in countries where automobile insurance does not include compensation for whiplash, people often have little incentive to report whiplash injuries that they actually have suffered.

In the argument given, the two boldfaced portions play which of the following roles?
A. The first is a claim that the argument disputes; the second is a conclusion that has been based on that claim.
B. The first is a claim that has been used to support a conclusion that the argument accepts; the second is that conclusion.
C. The first is evidence that has been used to support a conclusion for which the argument provides further evidence; the second is the main conclusion of the argument.
D. The first is a finding whose implications are at issue in the argument; the second is a claim presented in order to argue against deriving certain implications from that finding.
E. The first is a finding whose accuracy is evaluated in the argument; the second is evidence presented to establish that the finding is accurate.",CR,,,,,5,,,CR
"765. Last year Comfort Airlines had twice as many delayed flights as the year before, but the number of complaints from passengers about delayed flights went up three times. It is unlikely that this disproportionate increase in complaints was rooted in an increase in overall dissatisfaction with the service Comfort Airlines provides, since the airline made a special effort to improve other aspects of its service last year.

Which of the following, if true, most helps to explain the disproportionate increase in customer complaints?
A. Comfort Airlines had more flights last year than the year before.
B. Last year a single period of unusually bad weather caused a large number of flights to be delayed.
C. Some of the improvements that Comfort Airlines made in its service were required by new government regulations.
D. The average length of a flight delay was greater last year than it was the year before.
E. The average number of passengers per flight was no higher last year than the year before.",CR,,,,,5,,,CR
"766. Last year a global disturbance of weather patterns disrupted harvests in many of the world's important agricultural areas. Worldwide production of soybeans, an important source of protein for people and livestock alike, was not adversely affected, however. Indeed, last year's soybean crop was actually slightly larger than average. Nevertheless, the weather phenomenon is probably responsible for a recent increase in the world price of soybeans.

Which of the following, if true, provides the strongest justification for the attribution of the increase in soybean prices to the weather phenomenon?
A. Last year's harvest of anchovies, which provide an important protein source for livestock, was disrupted by the effects of the weather phenomenon.
B. Most countries that produce soybeans for export had above-average harvests of a number of food crops other than soybeans last year.
C. The world price of soybeans also rose several years ago, immediately after an earlier occurrence of a similar global weather disturbance.
D. Heavy rains attributable to the weather phenomenon improved grazing pastures last year, allowing farmers in many parts of the world to reduce their dependence on supplemental feed.
E. Prior to last year, soybean prices had been falling for several years.",CR,,,,,5,,,CR
"767. Most of the year, the hermit thrush, a North American songbird, eats a diet consisting mainly of insects, but in autumn, as the thrushes migrate to their Central and South American wintering grounds, they feed almost exclusively on wild berries. Wild berries, however, are not as rich in calories as insects, yet thrushes need to consume plenty of calories in order to complete their migration. One possible explanation is that berries contain other nutrients that thrushes need for migration and that insects lack.

Which of the following, if true, most seriously calls into question the explanation given for the thrush's diet during migration?
A. Hermit thrushes, if undernourished, are unable to complete their autumn migration before the onset of winter.
B. Insect species contain certain nutrients that are not found in wild berries.
C. For songbirds, catching insects requires the expenditure of significantly more calories than eating wild berries does.
D. Along the hermit thrushes' migration routes, insects are abundant throughout the migration season.
E. There are some species of wild berries that hermit thrushes generally do not eat, even though these berry species are exceptionally rich in calories.",CR,,,,,5,,,CR
"768. The kinds of hand and wrist injuries that result from extended use of a computer while maintaining an incorrect posture are common among schoolchildren in Harnville. Computers are important to the school curriculum there, so instead of reducing the amount their students use computers, teachers plan to bring about a sharp reduction in the number of these injuries by carefully monitoring their students' posture when using computers in the classroom.

Which of the following would it be most useful to know in order to assess the likelihood that the teachers' plan will be successful?
A. Whether extended use of a computer while maintaining incorrect posture can cause injuries other than hand and wrist injuries
B. Whether hand and wrist injuries not caused by computer use are common among schoolchildren in Harnville
C. What proportion of schoolchildren in Harnville with hand and wrist injuries use computers extensively outside the classroom
D. Whether changes in the curriculum could reduce the schools' dependence on computers
E. What proportion of schoolchildren in Harnville already use correct posture while using a computer",CR,,,,,5,,,CR
"769. A certain cultivated herb is one of a group of closely related plants that thrive in soil with high concentrations of metals that are toxic to most other plants. Agronomists studying the growth of this herb have discovered that it produces large amounts of histidine, an amino acid that, in test-tube solutions, renders these metals chemically inert. Hence, the herb's high histidine production must be the key feature that allows it to grow in metal-rich soils.

In evaluating the argument, it would be most important to determine which of the following?
A. Whether the herb can thrive in soil that does not have high concentrations of the toxic metals
B. Whether others of the closely related group of plants also produce histidine in large quantities
C. Whether the herb's high level of histidine production is associated with an unusually low level of production of some other amino acid
D. Whether growing the herb in soil with high concentrations of the metals will, over time, reduce their concentrations in the soil
E. Whether the concentration of histidine in the growing herb declines as the plant approaches maturity",CR,,,,,5,,,CR
"770. Many people suffer an allergic reaction to certain sulfites, including those that are commonly added to wine as preservatives. However, since there are several winemakers who add sulfites to none of the wines they produce, people who would like to drink wine but are allergic to sulfites can drink wines produced by these winemakers without risking an allergic reaction to sulfites.

Which of the following is an assumption on which the argument depends?
A. These winemakers have been able to duplicate the preservative effect produced by adding sulfites by means that do not involve adding any potentially allergenic substances to their wine.
B. Not all forms of sulfite are equally likely to produce the allergic reaction.
C. Wine is the only beverage to which sulfites are commonly added.
D. Apart from sulfites, there are no substances commonly present in wine that give rise to an allergic reaction.
E. Sulfites are not naturally present in the wines produced by these winemakers in amounts large enough to produce an allergic reaction in someone who drinks these wines.",CR,,,,,5,,,CR
"771. A new law gives ownership of patents—documents providing exclusive right to make and sell an invention—to universities, not the government, when those patents result from government-sponsored university research. Administrators at Logos University plan to sell any patents they acquire to corporations in order to fund programs to improve undergraduate teaching.

Which of the following, if true, would cast the most doubt on the viability of the college administrators' plan described above?
A. Profit-making corporations interested in developing products based on patents held by universities are likely to try to serve as exclusive sponsors of ongoing university research projects.
B. Corporate sponsors of research in university facilities are entitled to tax credits under new federal tax-code guidelines.
C. Research scientists at Logos University have few or no teaching responsibilities and participate little if at all in the undergraduate programs in their field.
D. Government-sponsored research conducted at Logos University for the most part duplicates research already completed by several profitmaking corporations.
E. Logos University is unlikely to attract corporate sponsorship of its scientific research.",CR,,,,,5,,,CR
"772. Since it has become known that several of a bank's top executives have been buying shares in their own bank, the bank's depositors, who had been worried by rumors that the bank faced impending financial collapse, have been greatly relieved. They reason that, since top executives evidently have faith in the bank's financial soundness, those worrisome rumors must be false. Such reasoning might well be overoptimistic, however, since corporate executives have been known to buy shares in their own company in a calculated attempt to dispel negative rumors about the company's health.

In the argument given, the two boldfaced portions play which of the following roles?
A. The first describes evidence that has been taken as supporting a conclusion; the second gives a reason for questioning that support.
B. The first describes evidence that has been taken as supporting a conclusion; the second states a contrary conclusion that is the main conclusion of the argument.
C. The first provides evidence in support of the main conclusion of the argument; the second states that conclusion.
D. The first describes the circumstance that the argument as a whole seeks to explain; the second gives the explanation that the argument seeks to establish.
E. The first describes the circumstance that the argument as a whole seeks to explain; the second provides evidence in support of the explanation that the argument seeks to establish.",CR,,,,,5,,,CR
"773. Between 1980 and 2000, the sea otter population of the Aleutian Islands declined precipitously. There were no signs of disease or malnutrition, so there was probably an increase in the number of otters being eaten by predators. Orcas will eat otters when seals, their normal prey, are unavailable, and the Aleutian Islands seal population declined dramatically in the 1980s. Therefore, orcas were most likely the immediate cause of the otter population decline.

Which of the following, if true, most strengthens the argument?
A. The population of sea urchins, the main food of sea otters, has increased since the sea otter population declined.
B. Seals do not eat sea otters, nor do they compete with sea otters for food.
C. Most of the surviving sea otters live in a bay that is inaccessible to orcas.
D. The population of orcas in the Aleutian Islands has declined since the 1980s.
E. An increase in commercial fishing near the Aleutian Islands in the 1980s caused a slight decline in the population of the fish that seals use for food.",CR,,,,,5,,,CR
"774. Political strategist: The domestic policies of our opponents in Party X are contrary to the priorities of many middle-class voters. Yet some of these same voters are supporters of Party X and its candidates due to the party's appeals about foreign policy. In order to win these voters back, we in Party Y must prove to middle-class voters that Party X does not represent their priorities with respect to domestic policy.

Which of the following would, if true, most strongly suggest that the political strategist's plan is unlikely to succeed?
A. Many in the middle class who support Party X for its foreign policies also support its domestic policies and are fully aware of the implications of those policies.
B. Most middle-class supporters of Party X care about foreign policy and know very little about its domestic policies.
C. Long-term domestic policy sometimes conflicts with short-term domestic policy.
D. There are topics on which Party X and Party Y have significant agreement.
E. Some middle-class voters are concerned about both domestic and foreign policy.",CR,,,,,5,,,CR
"775. Studies in restaurants show that the tips left by customers who pay their bill in cash tend to be larger when the bill is presented on a tray that bears a credit-card logo. Consumer psychologists hypothesize that simply seeing a credit-card logo makes many credit-card holders willing to spend more because it reminds them that their spending power exceeds the cash they have immediately available.

Which of the following, if true, most strongly supports the psychologists' interpretation of the studies?
A. The effect noted in the studies is not limited to patrons who have credit cards.
B. Patrons who are under financial pressure from their credit-card obligations tend to tip less when presented with a restaurant bill on a tray with a credit-card logo than when the tray has no logo.
C. In virtually all of the cases in the studies, the patrons who paid bills in cash did not possess credit cards.
D. In general, restaurant patrons who pay their bills in cash leave larger tips than do those who pay by credit card.
E. The percentage of restaurant bills paid with a given brand of credit card increases when that credit card's logo is displayed on the tray with which the bill is presented.",CR,,,,,5,,,CR
"776. In an experiment, each volunteer was allowed to choose between an easy task and a hard task and was told that another volunteer would do the other task. Each volunteer could also choose to have a computer assign the two tasks randomly. Most volunteers chose the easy task for themselves and under questioning later said they had acted fairly. But when the scenario was described to another group of volunteers, almost all said choosing the easy task would be unfair. This shows that most people apply weaker moral standards to themselves than to others.

Which of the following is an assumption required by this argument?
A. At least some volunteers who said they had acted fairly in choosing the easy task would have said that it was unfair for someone else to do so.
B. The most moral choice for the volunteers would have been to have the computer assign the two tasks randomly.
C. There were at least some volunteers who were assigned to do the hard task and felt that the assignment was unfair.
D. On average, the volunteers to whom the scenario was described were more accurate in their moral judgments than the other volunteers were.
E. At least some volunteers given the choice between assigning the tasks themselves and having the computer assign them felt that they had made the only fair choice available to them.",CR,,,,,5,,,CR
"777. Country X's recent stock-trading scandal should not diminish investors' confidence in the country's stock market. For one thing, the discovery of the scandal confirms that Country X has a strong regulatory system, as the following considerations show. In any stock market, some fraudulent activity is inevitable. If a stock market is well regulated, any significant stock-trading fraud in it will very likely be discovered. This deters potential perpetrators and facilitates improvement in regulatory processes.

In the argument, the portion in boldface plays which of the following roles?
A. It is the argument's only conclusion.
B. It is a conclusion for which the argument provides support and which itself is used to support the argument's main conclusion.
C. It is the argument's main conclusion and is supported by another explicitly stated conclusion for which further support is provided.
D. It is an assumption for which no explicit support is provided and is used to support the argument's only conclusion.
E. It is a compound statement containing both the argument's main conclusion and an assumption used to support that conclusion.",CR,,,,,5,,,CR
"778. Delta Products Inc. has recently switched at least partly from older technologies using fossil fuels to new technologies powered by electricity. The question has been raised whether it can be concluded that, for a given level of output, Delta's operation now causes less fossil fuel to be consumed than it did formerly. The answer, clearly, is yes, since the amount of fossil fuel used to generate the electricity needed to power the new technologies is less than the amount needed to power the older technologies, provided level of output is held constant.

In the argument given, the two boldfaced portions play which of the following roles?
A. The first identifies the content of the conclusion of the argument; the second provides support for that conclusion.
B. The first provides support for the conclusion of the argument; the second identifies the content of that conclusion.
C. The first states the conclusion of the argument; the second calls that conclusion into question.
D. The first provides support for the conclusion of the argument; the second calls that conclusion into question.
E. Each provides support for the conclusion of the argument.",CR,,,,,5,,,CR
"779. A product that represents a clear technological advance over competing products can generally command a high price. Because technological advances tend to be quickly surpassed and companies want to make large profits while they still can, many companies charge the greatest price the market will bear when they have such a product. But large profits on the new product will give competitors a strong incentive to quickly match the new product's capabilities. Consequently, the strategy to maximize overall profit from a new product is to charge less than the greatest possible price.

In the argument above, the two portions in boldface play which of the following roles?
A. The first is an assumption that forms the basis for a course of action that the argument criticizes; the second presents the course of action endorsed by the argument.
B. The first is a consideration raised to explain the appeal of a certain strategy; the second is a consideration raised to call into question the wisdom of adopting that strategy.
C. The first is an assumption that has been used to justify a certain strategy; the second is a consideration that is used to cast doubt on that assumption.
D. The first is a consideration raised in support of a strategy the argument endorses; the second presents grounds in support of that consideration.
E. The first is a consideration raised to show that adopting a certain strategy is unlikely to achieve the intended effect; the second is presented to explain the appeal of that strategy.",CR,,,,,5,,,CR
"780. Theater critic: The play La Finestrina, now at Central Theater, was written in Italy in the eighteenth century. The director claims that this production is as similar to the original production as is possible in a modern theater. Although the actor who plays Harlequin the clown gives a performance very reminiscent of the twentieth-century American comedian Groucho Marx, Marx's comic style was very much within the comic acting tradition that had begun in sixteenth-century Italy.

The considerations given best serve as part of an argument that
A. modern audiences would find it hard to tolerate certain characteristics of a historically accurate performance of an eighteenth-century play
B. Groucho Marx once performed the part of the character Harlequin in La Finestrina
C. in the United States, the training of actors in the twentieth century is based on principles that do not differ radically from those that underlay the training of actors in eighteenth-century Italy
D. the performance of the actor who plays Harlequin in La Finestrina does not serve as evidence against the director's claim
E. the director of La Finestrina must have advised the actor who plays Harlequin to model his performance on comic performances of Groucho Marx",CR,,,,,5,,,CR
"781. Although the discount stores in Goreville's central shopping district are expected to close within five years as a result of competition from a SpendLess discount department store that just opened, those locations will not stay vacant for long. In the five years since the opening of Colson's, a nondiscount department store, a new store has opened at the location of every store in the shopping district that closed because it could not compete with Colson's.

Which of the following, if true, most seriously weakens the argument?
A. Many customers of Colson's are expected to do less shopping there than they did before the SpendLess store opened.
B. Increasingly, the stores that have opened in the central shopping district since Colson's opened have been discount stores.
C. At present, the central shopping district has as many stores operating in it as it ever had.
D. Over the course of the next five years, it is expected that Goreville's population will grow at a faster rate than it has for the past several decades.
E. Many stores in the central shopping district sell types of merchandise that are not available at either SpendLess or Colson's.",CR,,,,,5,,,CR
