,Answer,Type,,Size,Questions,Flags
"Superheroes were invented during an era of _____ speculation, when dreams of Übermenschen – machine-men, aerialists and space-bound conquistadors – tantalized philosophers and engulfed fascists.
 
 technocratic
 eugenic
 metastatic
 xenophobic
 esoteric",B,One Blank,,,,5
"The ancient Greek myth of Daedalus and Icarus cautions the modern man about the perils of using human craft to (i) ______ human limitations.
 
 overpower
 transform
 breach
 transcend
 corner",D,One Blank,,,,5
"The essayist believes that the ________________ of the university’s English department could be ameliorated only by an overhaul in the school’s management.
 (A)Prosperity
 (B)denigration
 (C)deterioration
 (D)proliferation
 (E)consternation",C,One Blank,,,,5
"This question is part of Princeton Review 1014, Practice Questions for the New GRE Verbal Question Directory
 The administration had nothing but contempt for the ultimate Frisbee team and frequently spoke _______ of it.
 
 (A) didactically
 (B) affably
 (C) jocularly
 (D) morosely
 (E) disdainfully",E,One Blank,,,,5
"Though he did his best to cheer her, his pep talk left her just as (i) _______ as before.
 A) bored
 B) disconsolate
 C) chirpy
 D) disturbed
 E) distant",B,One Blank,,,,5
"Vast swathes of suburbia have turned into a ____________: homeowners, unable to pay their mortgages, have simply left their domiciles, creating a veritable graveyard of empty houses.
 
 bonanza
 defection
 necropolis
 monument
 haven",C,One Blank,,,,5
"Copyright and patent laws attempt to encourage innovation by ensuring that inventors are paid for creative work, so it would be _____ if expanded protection under these laws discouraged entrepreneurial innovation by increasing fears of lawsuits.
 
 desirable
 coincidental
 ironic
 natural
 sensible",C,One Blank,,,,5
"He was (i) _______ about a rise in the value of the stocks he had recently purchased and was eager to make a change in his investment portfolio.
 
 A. fearful
 B. unconcerned
 C. hesitant
 D. amused
 E. dubious",E,One Blank,,,,5
"It is ___ that some people and even some countries will be advantaged by the effects of global warming, even if the overall global impact is vastly detrimental.
 
 A. inevitable
 B. unlikely
 C unthinkable
 D. viable
 E. humane",A,One Blank,,,,5
"Man has no choice but to seek truth, he is made uncomfortable and frustrated without truth—thus, the quest for truth is part of what makes us ___________ .
 (A) noble
 (B) different
 (C) human
 (D) intelligent
 (E) aggressive",C,One Blank,,,,5
"In some cultures the essence of magic is its traditional integrity; it can be efficient only if it has been (i) _______ without loss from primeval times to the present practitioner.
 
 conventionalized
 realized
 transmitted
 manipulated
 aggrandized",C,One Blank,,,,5
"We first became aware that her support for the new program was less than (i) ______when she declined to make a speech in its favor.
 
 A. qualified
 B. haphazard
 C. fleeting
 D. unwarranted
 E. wholehearted",E,One Blank,,,,5
"This question is part of Princeton Review 1014, Practice Questions for the New GRE Verbal Question Directory
 Most fans dismissed the press release detailing the comedian’s ill health as a hoax, as she had frequently _______ her audience by feigning a physical ailment as part of her stage routine.
 
 (A) reconnoitred
 (B) hoodwinked
 (C) lambasted
 (D) vitiated
 (E) derided",B,One Blank,,,,5
"Estimating the risks of radiation escaping from a nuclear power plant is (i) _______ question, but one whose answer then becomes part of a value-laden, emotionally charged policy debate about whether to construct such a plant.
 
 A. an incomprehensible
 B. an undefined
 C. an irresponsible
 D. a divisive
 E. a technical",E,One Blank,,,,5
"In this day and age, side show barkers, competing with the unfathomable number of spectacular oddities daily displayed on the internet for free, must increasingly lard their pitches with flights of fancy and soaring ______, arching far beyond reality, to fill the seats in their arcades.
 
 (A) tit-for-tat
 (B) parables
 (C) conundrums
 (D) innuendos
 (E) hyperboles",E,One Blank,,,,5
"Julie dismissed DeRay’s weight loss scheme as _______ since it relied upon consuming high-calorie snacks while riding on an exercise bike.
 
 fatuous
 pithy
 indolent
 hackyened
 precarious",A,One Blank,,,,5
"Finding Dory, to indulge the inevitable aquatic metaphor, sticks to the shallow end of the pool, splashing about ……………… but never getting its hair wet.
 A. calmly
 B. Frantically
 C. Sedately
 D. Eerily
 E. Regularly",B,One Blank,,,,5
"Anyone who assumes that all of California shares Los Angeles’ sunny and temperate climate will be surprised by how _______ San Francisco’s weather can be in June.
 
 A. stimulating
 B. inclement
 C. balmy
 D. appealing
 E. duplicitous",B,One Blank,,,,5
"Since most if not all learning occurs through----, relating one observation to another, it would be strange indeed if the study of other cultures did not also illuminate the study of our own.
 (A) assumptions
 (B) experiments
 (C) comparisons
 (D) repetitions
 (E) impressions",C,One Blank,,,,5
"The king’s attendants insisted that he’d never made a bad decision during his entire reign, but the king ignored this ___________, recognizing it as the unctuous chatter of toadies.
 
 (A) idleness
 (B) regalia
 (C) blather
 (D) puffery
 (E) confabulation",D,One Blank,,,,5
"In their popular book Sex at Dawn, authors Christopher Ryan and Cacilda Jethá ___________ those who see paradigms for monogamy in nature, describing numerous animals and primitive peoples who have polyamorous relationships.
 
 (A) conspire with
 (B) block out
 (C) rail against
 (D) skitter around
 (E) pass over",C,One Blank,,,,5
"There were streaks of both arrogance and (i) ___________ in the artist's approach. Not only did she believe that she was by far the best contemporary painter, but she also constantly decried all conventional approaches to the medium.
 
 insolence
 esurient
 meekness
 egotism
 peremptoriness",A,One Blank,,,,5
"Such a (i)_________ response to a client is not consistent with the high standards of customer service this company demands.
 
 politic
 cloying
 meticulous
 boastful
 disrespectful",E,One Blank,,,,5
"Since the results of his experiments matched those from laboratories with the most stringent quality standards, the scientist was flabbergasted to discover that one of his suppliers had been___________its chemicals all along.
 
 A. adulterating
 B. pirating
 C. refining
 D. pervading
 E. mincing",A,One Blank,,,,5
"Critics who charged that the technology start-up had blatantly appropriated the laptop design of the leading manufacturer failed to take into account a recent report citing that the start-up had been anything but (i) ______, as not only was it the first to market, but pictures of its original design had initially surfaced publicly.
 
 hesitant
 dominant
 innovative
 unscrupulous
 posthumous",D,One Blank,,,,5
"Ava, a peripatetic day laborer, never failed to make (i) __________ decisions; she believed in neither deliberation nor prudence when confronted with various choices.
 
 paradoxical
 ignoble
 headlong
 undemonstrative
 unctuous",C,One Blank,,,,5
"Often, the fame of a certain artist seems to have come out of nowhere when in fact his renown is the product of___________.
 
 A. polarization
 B. accolade
 C. accretion
 D. hedonism
 E. hubris",C,One Blank,,,,5
"For centuries, commercial portrait painters have employed a bifurcated aesthetic: like other artists, they strive to represent the truth that gives their works life, but commerce dictates that they simultaneously employ subtle _________ that make the likeness more attractive than the sitter.
 
 (A) palettes
 (B) aesthetics
 (C) artifacts
 (D) artifices
 (E) sentiments",D,One Blank,,,,5
"Modern political campaigns are so full of misrepresentations and worse that candor is an _________.
 
 (A) aphorism
 (B) anecdote
 (C) effacement
 (D) anomaly
 (E) overture",D,One Blank,,,,5
"The Donner party made a _________ choice to try to cross the Rockies too late in the season, and they paid dearly for that dangerous decision.
 
 (A) prudent
 (B) parlous
 (C) suicidal
 (D) semiotic
 (E) providential",B,One Blank,,,,5
"After a brief initial struggle over power, the group elected a leader and _________ into a surprisingly harmonious team.
 
 (A) fractured
 (B) syncopated
 (C) coalesced
 (D) agglomerated
 (E) amortized",C,One Blank,,,,5
"After many years of war and bloodshed, some became _________ suffering, casting a blind eye to scenes of misery around them.
 
 (A) inured to
 (B) exempted from
 (C) dominant over
 (D) effusive towards
 (E) maudlin over",A,One Blank,,,,5
"After the US Civil War, “carpetbaggers”—so-called because they carried suitcases made of inexpensive carpeting material— _________ the South, hoping to turn a quick profit.
 
 (A) vanquished
 (B) inundated
 (C) blacklisted
 (D) boycotted
 (E) berated
 Show:",B,One Blank,,,,5
"Many ___________ people feared for the life of Ronald Reagan because since 1840, every president elected in a year ending in zero had died in office.
 
 (A) knowledgeable
 (B) mathematical
 (C) superstitious
 (D) addled
 (E) conservative",C,One Blank,,,,5
"Because early United States writers thought that the mark of great literature was grandiosity and elegance not to be found in common speech, they ---- the vernacular.
 (A) dissected
 (B) avoided
 (C) misunderstood
 (D) investigated
 (E) exploited",B,One Blank,,,,5
"Jean Jacques Rousseau, whose social philosophy was often austere, was in his personal life a surprisingly ________________ man: he attended fashionable Parisian parties, wore flashy clothing, and dated other men’s wives.
 o flamboyant
 o indisputable
 o pristine
 o astute
 o courteous",A,One Blank,,,,5
"Western culture has so influenced Middle Eastern music that even the latter’s roles of composer and performer, at one time inseparable, have now begun to ____________ .
 
 (A) divulge
 (B) retreat
 (C) retrench
 (D) diverge
 (E) fuse",D,One Blank,,,,5
"As expected, the archaeological dig uncovered only___________tools; the ancient tribe being studied had been known to have only primitive hunting and gathering skills.
 
 A. callous
 B. recalcitrant
 C. intractable
 D. intangible
 E. rudimentary",E,One Blank,,,,5
"After the board meeting, it became apparent that the union’s opposition to more restrictive regulations had strengthened, making implementation of those regulations more___________.
 
 A. transparent
 B. chellenging
 C. fluid
 D. intelligible
 E. unnecessary",B,One Blank,,,,5
"Despite the (i) ______ of evidence supporting his theory, Wasselman used his charisma to attract a legion of followers.
 
 A. confluence
 B. dearth
 C. nadir
 D. elision
 E. consumption",B,One Blank,,,,5
"The professor regarded the student's theory with (i) ______, considering the overall idea creative, but the logic behind the specific details unsound.
 
 A. deliberation
 B. ambivalence
 C. indifference
 D. condescension
 E. consternation",B,One Blank,,,,5
"Poverty can be a function not only of absolute wealth, but also of comparison in a community; in an area with ___ income levels, those at the very bottom will suffer the cost of living increases brought on by those in the middle and top income levels.
 A) Disparate
 B) Wavering
 C) Reticent
 D) Onerous
 E) Arduous
 Please tell why Wavering cannot come",A,One Blank,,,,5
"Not a GRE question to practice.
 Look at here better
 https://gre.myprepclub.com/forum/the-last- ... -3488.html
 Regards",C,One Blank,,,,5
"In Shakespeare’s
 Julius Caesar
 , Brutus and Cassius make a(n) (i) _____ reference to a mechanical clock, though in the time of the story it had not yet been invented.
 
 A. ambiguous
 B. anachronistic
 C. ancient
 D. archaic
 E. euphemistic",B,One Blank,,,,5
"Because the subject matter was so technical, the instructor made every effort to use (i) _______ terms to describe it.
 
 A. candid
 B. simplified
 C. discreet
 D. specialized
 E. involved",B,One Blank,,,,5
"Years of confinement in a sunless cell had left the prisoner wan and weakened with shockingly ___________ appearance.
 o Sidereal
 o Boisterous
 o Etiolated
 o Singular
 o Circumscribed",C,One Blank,,,,5
"Having written 140 books to date, he may well be considered one of the most (i) _______novelists of the century.
 
 A. eccentric
 B. controversial
 C. easygoing
 D. unheralded
 E. prolific",E,One Blank,,,,5
"As any visitor to Claude Monet's final home at Giverny can __________, Japanese prints were the artist's passion: his home overflows with works by Hiroshige, Utamaro, and other Japanese masters.
 
 (A) portray
 (B) attest
 (C) contest
 (D) rectify
 (E) invalidate",B,One Blank,,,,5
"The editor found the articles so _______that he hesitated to print them.
 (A) positive
 (B) comical
 (C) improbable
 (D) indecisive
 (E) interesting",C,One Blank,,,,5
"Perhaps because scientists have been so intrigued by dogs' superior senses of smell and hearing, researchers have long ---- their eyesight, assuming that they inhabit a drab, black-and-white world, devoid of color.
 (A) studied
 (B) coveted
 (C) appreciated
 (D) resented
 (E) underestimated",E,One Blank,,,,5
"1, Bradley felt that his creative process was greatly _____ by the sundry regulations that he had to abide by in his job as a copywriter for a medical device company.
 A,Supplanted
 B,revered
 C,Construed
 D,Broached
 E,Fettered
 I couldn't predict the word as hindered
 Discuss please",E,One Blank,,,,5
"The palatial home that mel acquired due to the fortune he had made to the poker table stood in stark contrast to the _____ abode he inhabited prior.
 A,dowdy
 B,Hermetic
 C,inadequate
 D,Gaudy
 E,Cloistered",A,One Blank,,,,5
"This question is part of Princeton Review 1014, Practice Questions for the New GRE Verbal Question Directory
 Some religious leaders have declared inaction on environmental issues to be _______, because it may now be considered a sin to pollute the earth.
 
 (A) fathomable
 (B) splenetic
 (C) iniquitous
 (D) diaphanous
 (E) dilatory",C,One Blank,,,,5
"While it is tempting to think that artists like Picasso literally see the world in a markedly different way, examination of the artist’s creative process reveals _________ movement from roughly realist sketches toward his famous Cubist style through a series of ever more abstract steps
 
 (A) an obsessive
 (B) an iterative
 (C) a random
 (D) a historical
 (E) a dicey",B,One Blank,,,,5
"Faced with high temperatures and rapidly increasing humidity, the tourists were overcome by __________ and felt unable to continue their climb up the pyramid.
 
 A. zealousness
 B. lethargy
 C. abstinence
 D. resilience
 E. antipathy",B,One Blank,,,,5
"Her enthusiasm for the project __________ as soon as she found out that the budget had been cut in half and the deadline had been moved up by a month.
 
 A. dissipated
 B. retained
 C. elevated
 D. exalted
 E. disparaged",A,One Blank,,,,5
"The belief that professional athletes can become financially ________________ after signing lucrative contracts motivated the league’s commissioner to institute a mandatory financial-planning course.
 (A)enthusiastic
 (B)haughty
 (C)reckless
 (D)opulent
 (E)diminutive",C,One Blank,,,,5
"In a world where technological impasses are hurdled with greater and greater rapidity, it comes as no surprise that any given (i) ___________does not merit much concern.
 
 A. quagmire
 B. discernment
 C. fecundity
 D. misinterpretation
 E. imperilment",A,One Blank,,,,5
"As ______ beings we live each day conscious of our shortcomings and victories.
 
 sensational
 sentient
 sentimental
 static
 senile",B,One Blank,,,,5
"The novelist’s ________________ tone puzzled readers expecting the straightforward and terse prose that characterized his previous works.
 (A)philosophical
 (B)meandering
 (C)jovial
 (D)progressive
 (E)melancholy",B,One Blank,,,,5
"The anthropologist discovered that because direct insult in the society carried with it a high risk of physical conflict, most slights were (i) ___________rather than spoken.
 
 A. averred
 B. allayed
 C. dispersed
 D. purported
 E. insinuated",E,One Blank,,,,5
"With shifts in global power dynamics and the future of the Global Democratic Order uncertain, the quest for chemical disarmament has become even more (i) __________.
 
 A. insipid
 B. exigent
 C. salubrious
 D. penurious
 E. facile",B,One Blank,,,,5
"Customer reviews are becoming a fixture on retail and consumer brand websites, with over 70% of retailers planning to feature them by the end of the year. The accelerated adoption of customer reviews indicates a more enlightened approach to handling negative comments- that is, the______________ that occasional negative reviews do not hurt sales.
 
 a. ebullience
 b. repudiation
 c. opulence
 d.acknowledgement
 e. refusal",D,One Blank,,,,5
"Successful expansion of a business is as much a matter of ________________ as of hard work: the greatest work ethic will be useless if it is not performed in the service of a concrete plan.
 (A)foresight
 (B)persistence
 (C)insight
 (D)talent
 (E)parsimony",A,One Blank,,,,5
"The newest fiber-optic cables that carry telephone calls cross-country are made of glass so ________ that a piece 100 miles thick is clearer than a standard windowpane.
 A) fragile
 B) immaculate
 C) iridescent
 D) tangible
 E) transparent",E,One Blank,,,,5
"Deriving wonderment from novelty is relatively commonplace; far more difficult is the ability to find beauty in the __________.
 (A)plebeian
 (B)malevolent
 (C)prosaic
 (D)ecstatic
 (E)unknown",C,One Blank,,,,5
"Because his presidential term was marked by crisis and conflict, many historians consider the presidency of John Adams ________________.
 o an expediency.
 o an indulgence
 o a calamity
 o a regency
 o a sovereignty",C,One Blank,,,,5
"Just as the Elizabethan (i) _____ thought little of Shakespeare because he failed to follow in the footsteps of the great Greeks, some modern critics dislike the best work of the dramatists of our own time, because they are not cast in the Shakespearean mold.
 A. experts
 B. audiences
 C. reviewers
 D. directors
 E. pundits",C,One Blank,,,,5
"This hotel chain has a reputation of luxury, but despite its (i) ________ name, it offers fewer amenities than hotels that charge half its price.
 A. dubious
 B. bargaining
 C. questionable
 D. illustrious
 E. quintessential",D,One Blank,,,,5
"Although at first the couple’s argument seemed to be about a (i) ___________matter, it soon became obvious that their disagreement stemmed from a fundamental schism.
 
 A. base
 B. nugatory
 C. officious
 D. lucid
 E. stygian",B,One Blank,,,,5
"Tailoring ads to all tastes has limits. Too many sponsors may...... a team’s brand.
 
 foil
 fester
 debase
 disport
 exonerate",C,One Blank,,,,5
"The bias for (i) ______ has crept into the current school of physics: superstring theory provides such an all-encompassing— yet tidy— packaging of current streams of thought— quantum physics and Einstein’s theory of relativity, among them— that many scientists have been beguiled by the simplicity of the theory into blithely discounting the paucity of data.
 
 (A) thoroughness
 (B) inconsistency
 (C) elegance
 (D) aesthetics
 (E) artifice",C,One Blank,,,,5
"Previous attempts at introducing radically-low-carbon types of cement have all failed to scale because they required raw materials that were not....... and expensive new capital equipment.
 
 limpid
 grating
 disseminated
 ubiquitous
 disperse",D,One Blank,,,,5
"Admirers of Jane Austen’s fiction are familiar with the idea that, in social arenas where opinions cannot be expressed candidly, such thoughts must be _______ through double meanings in regular speech or by other implicit methods often specific to that social group.
 
 intimated
 extrapolated
 avowed
 whispered
 confabulated",A,One Blank,,,,5
"The inherent ________________ of David Foster Wallace’s novels is apparent in the proliferation of guides and supplements to his novels.
 (A)density
 (B)beauty
 (C)aesthetics
 (D)unconventionality
 (E)misanthropy",A,One Blank,,,,5
"Far from being （i）_____, Pat was always （ii）_____to appear acquiescent.
 A unctuous.. loath
 B brazen.. reluctant
 C ignoble.. concerned
 D obsequious.. eager
 E gregarious.. willing",A,One Blank,,,,5
"Those close to the chairman knew not to take his emotions at face value; they knew he was dour when he seemed joyous and (i) __________ when he seemed comfortable.
 A. restive
 B. nonchalant
 C. thorough
 D. dormant
 E. plaintive",A,One Blank,,,,5
"Because the high seriousness of their narratives resulted in part from their metaphysics, Southern writers were praised for their ---- bent.
 (A) technical
 (B) discursive
 (C) hedonistic
 (D) philosophical
 (E) scientific",D,One Blank,,,,5
"Companies almost always strive to reduce their expenses, unless doing so requires the (i) _______ of product quality or market share.
 
 impugning
 sacrificing
 shirking
 protracting
 quashing",B,One Blank,,,,5
"The discovery that the brain’s connections can change even during old age ________________ previous beliefs that the basic configuration of the brain is fixed by middle age.
 (A)undermined
 (B)highlighted
 (C)determined
 (D)implied
 (E)validated",A,One Blank,,,,5
"In certain regions of Mars, the weather ________________ so wildly that you can feel as though you are experiencing winter and summer in the same day.
 
 navigates
 buffers
 crests
 diminishes
 fluctuates",E,One Blank,,,,5
"Thomas Paine, whose political writing was often flamboyant, was in private life a surprisingly (i) ________ man: he lived in rented rooms, ate little, and wore drab clothes.
 
 simple
 controversial
 sordid
 comfortable
 discourteous",A,One Blank,,,,5
"In contrast to the substantial muscular activity required for inhalation, exhalation is usually a (i) _______ process.
 
 slow
 passive
 precise
 complex
 conscious",B,One Blank,,,,5
"Exposure to low-intensity gamma radiation slows the rate of growth of the spoilage microorganisms in food in much the same way that the low heat used in pasteurization (i) _______ the spoilage action of the microorganisms in milk.
 
 precludes
 initiates
 inhibits
 isolates
 purifies",C,One Blank,,,,5
"Exposure to low-intensity gamma radiation slows the rate of growth of the spoilage microorganisms in food in much the same way that the low heat used in pasteurization (i) _______ the spoilage action of the microorganisms in milk.
 
 precludes
 initiates
 inhibits
 isolates
 purifies",C,One Blank,,,,5
"The patient was warned that the medical treatment, though proved to be effective, would be (i) __________, inducing an unshakable sense of lethargy.
 
 discouraging
 endurable
 enervating
 incommensurate
 frivolous",C,One Blank,,,,5
"False modesty only emphasizes the arrogance of the one who proffers it; the attempt to repress one's high opinion of oneself instead (i) _______ it.
 A. withdraws
 B. explains
 C. accentuates
 D. hides
 E. condemns",C,One Blank,,,,5
"This question is part of Princeton Review 1014, Practice Questions for the New GRE Verbal Question Directory
 In 1770s colonial New England, Puritans _______ the celebration of Christmas, which they considered to be an odious reminder of the Pope’s tyranny.
 
 (A) placated
 (B) extolled
 (C) circumscribed
 (D) tempered
 (E) repudiated",E,One Blank,,,,5
"The American public venerates medical researchers because the researchers make frequent discoveries of tremendous humanitarian consequence; however, the daily routines of scientists are largely made up of result verification and statistical and statistical analysis, making their occupation seem _______________.
 o Fascinating
 o Quotidian
 o Recalcitrant
 o Experimental
 o Amorphous",B,One Blank,,,,5
"Oxygen is an absolute (i) _______ for human beings to survive, just as the availability of carbon dioxide is an indispensable condition for plant life.
 A. enhancement
 B. advancement
 C. luxury
 D. necessity
 E. compulsion",D,One Blank,,,,5
"The captain's objective was to capture the Island of Michilimackinac, which had been (i) _____ by the enemy early in the war.
 A. crowded
 B. occupied
 C. avoided
 D. destroyed
 E. navigated",B,One Blank,,,,5
"Among the (i)____ books on Culinary Science in circulation, there have historically been few which afford the slightest insight into the cookery of the Hebrew kitchen.
 A. negligible
 B. scarce
 C. copious
 D. scant
 E. noisome",C,One Blank,,,,5
"Though the group can do without the clarinet player for their upcoming performance, the drummer is (i) _______ .
 
 important
 vital
 dependable
 unnecessary
 present",B,One Blank,,,,5
"This very important class of decisions can be described as (i) _______ because the chain of decisions that will be made in the future changes as a result of each current decision.
 
 important
 dynamic
 logical
 static
 prolonged",B,One Blank,,,,5
"It seemed they were never in similar moods; when she was content, he was dissatisfied, and when she was sullen, he was (i) _________.
 
 spiteful
 boisterous
 dour
 inquisitive
 ponderous",B,One Blank,,,,5
"Having established his competence as a playwright with his first play, the author went on to show greater ____________ with his second.
 
 characterization
 mastery
 understanding
 perception
 insufficiency",B,One Blank,,,,5
"In every work of art there are at least four elements, which we may separate to (i) _____ them individually: technique, observation, imagination, philosophy.
 
 interrogate
 consider
 neglect
 berate
 sketch",B,One Blank,,,,5
"Michalewski's text indubitably serves as the (i) _________ of his discipline; it surpassed all previous models of excellence and has replaced them with the rigor of heretofore unmatched academic standards.
 
 validation
 vainglory
 apotheosis
 munificence
 beneficence",C,One Blank,,,,5
"Despite the warnings of environmental scientists, the waterfront building project has not yet had (i) ______ effect on the riverbed ecosystem.
 
 an altruistic
 an adverse
 a divergent
 an inconsequential
 an assiduous",B,One Blank,,,,5
"His new job proved to be a _____; he was not required to do any actual work.
 
 vocation
 exertion
 subjugation
 paradox
 sinecure",E,One Blank,,,,5
"By (i) ________ strict rules of hygiene in maternity wards, Ignaz Semmelweis saved many women from dying of childbed fever, a fate that many expectant mothers feared.
 
 (A) chellenging
 (B) instituting
 (C) intimating
 (D) invalidating
 (E) sanitizing",B,One Blank,,,,5
"Although appliance manufacturers would have you believe otherwise, items like blenders and toasters are not requirements for the creation of a delicious meal; for centuries, our ancestors cooked without these modern (i) _______.
 A. conveniences
 B. hindrances
 C. requisitions
 D. creeds
 E. incidents",A,One Blank,,,,5
"Ryan is paralyzed by his own (i) __________: he imagines having elaborate conversations with various people, but he fails to engage in conversations with them when opportunities arise.
 A. diffidence
 B. sycophancy
 C. imagination
 D. convalescence
 E. recititude",A,One Blank,,,,5
"Connoisseurs gather (i) _______ knowledge on a single subject.
 A. scant
 B. copious
 C. spurious
 D. peculiar
 E. arcane",B,One Blank,,,,5
"Never one to mince
 his words, Antonio was the perfect ________________ ; even an outright fabrication was delivered with
 aplomb
 .
 A) Hack
 B) Idler
 C) Benefactor
 D) Dissembler
 E) Official",D,One Blank,,,,5
"The giant squid’s massive body, adapted for deep-sea life, breaks apart in the reduced pressures of shallower ocean depths, making the search for an intact specimen one of the most _________ quests in all of marine biology.
 A) meaningful
 B) elusive
 C) popular
 D) expensive
 E)profitable",B,One Blank,,,,5
"One business partner was parsimonious while the other was (i) ________, but they were very successful in working together.
 A. prolix
 B. obstreperous
 C. spendthrift
 D. dictatorial
 E. energetic",C,One Blank,,,,5
"This question is a part of The 5 lb. Book of GRE Practice Problems (2nd Ed.) - VERBAL
 The distinction between architecture and the engineering professions that it resembles is that the former must consider (i) _________ as well as functionality, as clients often base their decisions more on the beauty of the project than its practicality.
 
 (A) insouciance
 (B) utility
 (C) price
 (D) aesthetics
 (E) profundity",D,One Blank,,,,5
"This question is part of Princeton Review 1014, Practice Questions for the New GRE Verbal Question Directory
 Adventures of Huckleberry Finn was one of the first major American novels to be written in _______ voice, using the unaffected language of the common person describing everyday events.
 
 (A) an erudite
 (B) a reticent
 (C) an urbane
 (D) a quotidian
 (E) a quixotic",D,One Blank,,,,5
"By ---- scientific rigor with a quantitative approach, researchers in the social sciences may often have --- their scope to those narrowly circumscribed topics that are well suited to quantitative methods.
 (A) undermining.. diminished
 (B) equating.. enlarged
 (C) vitiating.. expanded
 (D) identifying.. limited
 (E) imbuing.. broadened",A,One Blank,,,,5
"The director inserted deliberate _________ into the play—for example, Hamlet typed his letters to Ophelia on a laptop.
 
 (A) platitudes
 (B) paradigms
 (C) neologisms
 (D) derivations
 (E) anachronisms",E,One Blank,,,,5
"There is little agreement among specialists about whether the Second Amendment provides _________ guarantee of a right to bear arms for private citizens, or whether it was instead meant to allow the populace to protect itself in lieu of a military.
 
 (A) an earnest
 (B) an amended
 (C) a questionable
 (D) a defeasible
 (E) an ironclad",E,One Blank,,,,5
"Patients who stop taking antibiotics when symptoms subside contribute to the evolution of drug-resistant strains, because an incomplete course of treatment spares the most _________ bacteria.
 
 (A) widespread
 (B) immature
 (C) robust
 (D) benignant
 (E) notorious",C,One Blank,,,,5
"Unable to raise sufficient funds for his quirky independent feature, the producer was heard to curse the “philistines” and _______ the lack of support for experimental art in this country.
 
 (A) debase
 (B) decry
 (C) deface
 (D) delimit
 (E) defer",B,One Blank,,,,5
"With so many of America’s malls shutting down due to the financial crisis, there might soon be a significant dearth of locations in which teenagers can __________; if we’re not careful, they might soon have to start actually doing useful things with their time.
 
 (A) flirt
 (B) loaf
 (C) sneak
 (D) mature
 (E) chide",B,One Blank,,,,5
"Commentators and comedians had a field day with the widespread corruption in politics, so much so that one _________ defined a “gaffe” as a politician accidentally telling the truth.
 
 (A) wag
 (B) apologist
 (C) diplomat
 (D) egoist
 (E) transgressor",A,One Blank,,,,5
"The apparent simplicity of a cup of coffee _________ the dizzying number of hours of toil required to produce it, from months of cultivation of the bean tree to painstaking refinement in highly sophisticated machinery.
 
 (A) redresses
 (B) confirms
 (C) belies
 (D) furnishes
 (E) fosters",C,One Blank,,,,5
"MacCrory’s conversation was (i) _______ : she could never tell a story, chiefly because she always forgot it, and she was never guilty of a witticism, unless by accident.
 A. scintillating
 B. unambiguous
 C. perspicuous
 D. stultifying
 E. facetious",D,One Blank,,,,5
"The union leader had to raise his voice to plead with the ________ audience to settle down several times so that he could continue his speech.
 
 A. disturbed
 B. disagreeable
 C. attentive
 D. vociferous
 E. stringent",D,One Blank,,,,5
"The managing partner of the investment company ________ its yearly earnings in a speech broadcast by satellite to financial analysts around the world. He was ebullient over the results.
 
 A. announced
 B. boasted about
 C. declared
 D. stated
 E. took satisfaction in",B,One Blank,,,,5
"Since many African farmers face a soil fertility problem, providing funding for fertilizer seems _____; closer examination of the data raises some troubling questions, however.
 
 A. imprudent
 B. expensive
 C. unimpeachable
 D. modern
 E. worrisome",C,One Blank,,,,5
"Even those who disagreed with Carmen’s views rarely faulted her for expressing them, for the positions she took were as _____ as they were controversial.
 A complicated
 B political
 C subjective
 D commonplace
 E thoughtful",E,One Blank,,,,5
"Even those who disagreed with Carmen’s views rarely faulted her for expressing them, for the positions she took were as _____ as they were controversial.
 A complicated
 B political
 C subjective
 D commonplace
 E thoughtful",E,One Blank,,,,5
"The Library of Congress recordings of American African folk songs recorded on location in the Deep South are considered the ________ versions against which musicologists evaluate all other versions.
 
 A. indispensable
 B. momentous
 C. explicit
 D. definitive
 E. scholarly",D,One Blank,,,,5
"Refusing to consider criticism, however valid, may lead an individual in a position of power to suffer from one’s own _____, leading to decisions that ultimately produce catastrophic results.
 
 A. miscalculation
 B. ambivalence
 C. perfidy
 D. ineptitude
 E. hubris",E,One Blank,,,,5
"Refusing to consider criticism, however valid, may lead an individual in a position of power to suffer from one’s own _____, leading to decisions that ultimately produce catastrophic results.
 
 A. miscalculation
 B. ambivalence
 C. perfidy
 D. ineptitude
 E. hubris",E,One Blank,,,,5
"Corporate leaders often try to (i) _____ their intentions as disclosing the motives that drive decisions may put the company’s strategic advantage at risk.
 
 A. occlude
 B. stipulate
 C. obfuscate
 D. preclude
 E. abjure",C,One Blank,,,,5
"Corporate leaders often try to (i) _____ their intentions as disclosing the motives that drive decisions may put the company’s strategic advantage at risk.
 
 A. occlude
 B. stipulate
 C. obfuscate
 D. preclude
 E. abjure",C,One Blank,,,,5
"In 1962, British composer Benjamin Britten created ""War Requiem,"" a piece he wrote in remembrance of World War II that would take on an unintended but more ________ significance as the Vietnam War escalated that same year.
 
 A. evocative
 B. overdue
 C. contemporary
 D. laudable
 E. inscrutable",C,One Blank,,,,5
"Never known to be a master of pretense, Tom was a standing testimony to ________ ; even a blatant masquerade of humility was presented with poise.
 
 A. ingenuity
 B. peevishness
 C. magnanimity
 D. affectation
 E. enunciation",D,One Blank,,,,5
