Passage,Correct answers,Type,Difficulty,Size,Questions,Flags,
"In 2017, artists Isabel and Ruben Toledo redesigned the costumes and sets for The Miami City Ballet's production of The ____ to reviewers, the Toledos' designs helped infuse the production with elements of Miami's Latin American culture.

A. Nutcracker according,
B. Nutcracker, according
C. Nutcracker according
D. Nutcracker. According",D,,Medium,,,,Period marks boundary between two sentences.
"To illustrate Albert Einstein's special theory of relativity, picture two jugglers: one juggling on a steadily moving parade float, the other juggling while standing still on a sidewalk. The laws of physics are identical for both ____ motion relative to each other. But what, Einstein wondered, about the speed of light?

A. jugglers', regardless of they're
B. jugglers, regardless of there
C. juggler's, regardless of their
D. jugglers, regardless of their",D,,Easy,,,,"Plural noun ""jugglers"" and plural possessive ""their"" are correct."
"African American Percy Julian was a scientist and entrepreneur whose work helped people around the world to see. Named in 1999 as one of the greatest achievements by a US chemist in the past hundred years, ____ led to the first mass‑produced treatment for glaucoma.

A. Julian synthesized the alkaloid physostigmine in 1935; it
B. in 1935 Julian synthesized the alkaloid physostigmine, which
C. Julian's 1935 synthesis of the alkaloid physostigmine
D. the alkaloid physostigmine was synthesized by Julian in 1935 and",C,,Medium,,,,"""Julian's 1935 synthesis"" is placed immediately after the modifying phrase."
"Seneca sculptor Marie Watt's blanket art comes in a range of shapes and sizes. In 2004, Watt sewed strips of blankets together to craft a 10‑by‑13‑inch ____ in 2014, she arranged folded blankets into two large stacks and then cast them in bronze, creating two curving 18‑foot‑tall blue‑bronze pillars.

A. sampler later,
B. sampler;
C. sampler,
D. sampler, later,",B,,Medium,,,,Semicolon joins two main clauses.
"The life spans of rockfish vary greatly by species. For instance, the colorful calico rockfish (Sebastes dallii) can survive for a little over a ____ the rougheye rockfish (Sebastes aleutianus) boasts a maximum life span of about two centuries.

A. decade: while
B. decade. While
C. decade; while
D. decade, while",D,,Easy,,,,Comma marks boundary between the main clause and the subordinate clause.
"The Arctic‑Alpine Botanic Garden in Norway and the Jardim Botanico of Rio de Janeiro in Brazil are two of many botanical gardens around the world dedicated to growing diverse plant ____ festering scientific research; and educating the public about plant conservation.

A. species, both native and nonnative,
B. species, both native and nonnative;
C. species; both native and nonnative,
D. species both native and nonnative,",B,,Hard,,,,Semicolon separates items in a complex series.
"The US Geological Survey wants to map every human‑made structure in the United States, and it is asking volunteers to help. Cassie Tammy Wang and Ashish D'Souza are just two of the many volunteer map editors who ____ to the project since it began in 2012.

A. contribute
B. will contribute
C. have contributed
D. will be contributing",C,,Easy,,,,"Present perfect ""have contributed"" works with ""since it began."""
"In 1955, Indian Bengali filmmaker Satyajit Ray released his first movie, Pather ____ quiet black‑and‑white drama about a family in rural India, Ray's film was quite different from the loud, colorful action‑romance movies that were popular at the time.

A. Panchali a
B. Panchali, which was a
C. Panchali, a
D. Panchali. A",D,,Hard,,,,Period marks boundary between two sentences.
"Félix González‑Torres debuted his sculpture ""Untitled"" (USA Today) in New York City in 1990. The work consists of piled candy, a material González‑Torres became known for. ____ created additional installations using a variety of sweets, like bubblegum, lollipops, and chocolates.

A. They all
B. Those
C. Both
D. He",D,,Easy,,,,"Singular pronoun ""he"" agrees with singular antecedent ""Félix González‑Torres."""
"By analyzing the level of radioactive decay within a fossil specimen, scientists can establish the age of that fossil with a high degree of precision. When radioactive elements aren't present, scientists turn to ____ analysis of Earth's sediment layers (strata)‑ to estimate how old a fossil is based on the age of the strata in which the fossil is found.

A. stratigraphy‑the
B. stratigraphy (the
C. stratigraphy: the
D. stratigraphy, the",A,,Medium,,,,"Dash after ""stratigraphy"" pairs with the dash after ""(strata)."""
"A study showed that a solar park caused nearby land to cool, though the ecological impact of this temperature decrease isn't yet known. Before the park's construction, the surface temperature 30 meters outside of the park boundary was 0.1°C cooler than that of a control ____ construction, the temperature 30 meters outside of the boundary was 1.7°C cooler than that of the control area.

A. area after
B. area after,
C. area. After
D. area, after",C,,Medium,,,,Period marks boundary between two sentences.
"Far from being modern inventions, ____ more than 5,000 years ago.

A. Sumerians in ancient Mesopotamia used drinking straws
B. drinking straws were used by Sumerians in ancient Mesopotamia
C. the use of drinking straws by Sumerians in ancient Mesopotamia happened
D. ancient Mesopotamia was home to Sumerians who used drinking straws",B,,Medium,,,,"""drinking straws"" is placed immediately after the modifier."
"A study published by Rice University geoscientist Ming Tang in 2019 offers a new explanation for the origin of Earth's structures called arcs, towering ridges that form when a dense oceanic plate subducts under a less dense continental plate, melts in the mantle below, and then rises and bursts through the continental crust above.

A. continents geological
B. continents: geological
C. continents: geological
D. continents: Geological",B,,Hard,,,,Colon marks boundary between the main clause and the supplementary phrase.
"Humans were long thought to have begun occupying the Peruvian settlement of Machu Picchu between 1440 and 1450 CE. However, a team led by anthropologist Dr. Richard Burger used accelerator mass spectrometry to uncover evidence that it was occupied ____ 1420 CE, according to Burger, humans were likely inhabiting the area.

A. earlier. In
B. earlier, in
C. earlier, which in
D. earlier in",A,,Medium,,,,Period marks boundary between two sentences.
"The Austronesian language family includes Tagalog, Malagasy, and some 1,200 other languages throughout the Pacific, making it one of the largest language families in the world and of keen interest to ____ of the University of Toronto.

A. linguist, Diane Massam,
B. linguist, Diane Massam
C. linguist Diane Massam
D. linguist: Diane Massam",C,,Hard,,,,No punctuation between a title and a proper noun.
"How did whales, once no bigger than seals, evolve to become the largest animals on Earth? Brazilian biologist Mariana Nery believes the answer might be found in whales' DNA. In January 2023, Nery and her colleagues ____ a study showing changes over time in four whale genes associated with body size.

A. published
B. publishing
C. having published
D. to publish",A,,Easy,,,,"Finite past‑tense verb ""published"" is required for the main clause."
"What makes the theremin a unique musical instrument? You play it without touching it. When you place your ____ the pitch will shift as your hands move through the air.

A. hand's between the two antennas,
B. hands between the two antennas,
C. hands' between the two antennas,
D. hands' between the two antennas,",B,,Easy,,,,"Plural nouns ""hands"" and ""antennas"" are correct."
"Many companies have simplified their products' packaging designs in recent years, but ____ Researcher Lan Anh Nu Ton and her colleagues designed a research study to find out.

A. consumers actually do prefer this simpler style.
B. do consumers actually prefer this simpler style.
C. do consumers actually prefer this simpler style.
D. consumers actually do prefer this simpler style?",B,,Easy,,,,Question mark punctuates the interrogative clause.
"Cheng Dang and her colleagues at the University of Washington recently ran simulations to determine the extent to which individual snow ____ affect the amount of light reflecting off a snowy surface.

A. grain's physical properties'
B. grains' physical properties
C. grains' physical property's
D. grains physical properties",B,,Medium,,,,"Plural possessive ""grains'"" and plural noun ""properties"" are correct."
"With residents from Mexico, China, El Salvador, and many other countries, Los Angeles has long been a city of cultural diversity. Even back in the 1860s, nearly 30% of the city's population ____ from outside the United States.

A. is being
B. was
C. is
D. will be",B,,Easy,,,,"Past tense ""was"" indicates a fact about the 1860s."
"Novelist Jane Austen greatly admired the work of Fanny Burney, a popular English author. In fact, scholars believe that a passage from the last chapter of Cecilia, a 1782 novel by Burney, likely inspired the title of one of ____ Pride and Prejudice.

A. Austen's most famous novels,
B. Austens' most famous novels,
C. Austens most famous novels,
D. Austen's most famous novels,",A,,Easy,,,,"Singular possessive ""Austen's"" and plural noun ""novels"" are correct."
"The intense pressure found in the deep ocean can affect the structure of proteins in fish's cells, distorting the proteins' shape. The chemical trimethylamine N‑oxide (TMAO) counters this effect, ensuring that proteins retain their original ____ is found in high concentrations in the cells of the deepest‑dwelling fish.

A. configurations. TMAO
B. configurations TMAO
C. configurations, TMAO
D. configurations and TMAO",A,,Easy,,,,Period marks boundary between two sentences.
"Increasing the heat on an uncovered boiling pot of water does not increase the temperature of the water. What increases is the rate at which the water turns to a ____ pressure cooker pot, though, an airtight seal traps the vapor in the pot, creating pressure that allows the temperature of the water to increase past its boiling point.

A. vapor. With
B. vapor with
C. vapor, with
D. vapor and with",A,,Medium,,,,Period marks boundary between two sentences.
"Most of the ice found on Earth is ice Ih, distinguished by a crystalline structure in which molecules form a hexagonal pattern. Amorphous ice, on the other hand, constitutes most of the ice in the ultrafrigid environment of outer space. Defined by a disorganized molecular structure, ____

A. ice Ih contains crystals, whereas amorphous ice, which lacks the thermal energy to form them, does not.
B. amorphous ice lacks the thermal energy to form the crystals found in ice Ih.
C. the lack of thermal energy in amorphous ice explains its inability to form the crystals found in ice Ih.
D. ice Ih differs from amorphous ice in that it possesses the thermal energy to form crystals.",B,,Hard,,,,"""amorphous ice"" is placed immediately after the modifying phrase."
"Multiple newspapers ____ the Spanish‑speaking population of Washington, DC, including El Tiempo Latino and Washington Hispanic.

A. serve
B. having served
C. to serve
D. serving",A,,Easy,,,,"Finite verb ""serve"" is required for the main clause."
"When particles are suspended in liquid (like pollen in a water glass), they will zigzag randomly through the liquid and collide with one another in perpetuity. This type of random, continuous ____ is known as Brownian motion, can be observed throughout the natural world.

A. movement: which
B. movement, which
C. movement which
D. movement. Which",B,,Easy,,,,Commas set off the nonessential relative clause.
"Walt Whitman's Leaves of Grass first appeared in 1855 as a slim collection of twelve poems, but Whitman would revise and expand it substantially over the next four decades. These extensive ____ the addition of hundreds of new poems, the removal of some existing ones, and the insertion of prefatory material, reflected the poet's evolving literary perspective and experience of the US Civil War.

A. changes, including
B. changes would include
C. changes included
D. changes, include",A,,Hard,,,,"Present participle ""including"" forms a supplementary element."
"In his groundbreaking book Bengali Harlem and the Lost Histories of South Asian America, Vivek Bald uses newspaper articles, census records, ships' logs, and memoirs to tell the ____ who made New York City their home in the early twentieth century.

A. story's of the South Asian immigrants
B. story's of the South Asian immigrants
C. stories of the South Asian immigrants
D. stories' of the South Asian immigrant's",C,,Easy,,,,"Plural nouns ""stories"" and ""immigrants"" are correct."
"During the decades‑long movement to codify the rights of Latinos in the US, certain events were pivotal: the founding of social justice group the League of United Latin American Citizens in ____ Katzenbach v. Morgan court decision in 1966, which affirmed the rights of Latino voters, is another such event.

A. 1929. For one, the
B. 1929, for one, the
C. 1929 for one, the
D. 1929, for one. The",D,,Hard,,,,"Period marks boundary between sentences; comma sets off ""for one."""
"Materials scientist Marie‑Agathe Charpagne and her colleagues believed they could improve on the multicomponent alloy NiCoCr, an equal‑proportions mixture of nickel (Ni), cobalt (Co), and chromium (Cr), by replacing chromium with ruthenium ____ the alloy that resulted, NiCoRu, turned out to be an unsuitable replacement for NiCoCr.

A. (Ru)
B. (Ru) but
C. (Ru),
D. (Ru), but",D,,Hard,,,,"Comma + ""but"" joins two main clauses."
"Chondrites are stony meteorites that are undifferentiated‑ that is, their contents have not melted and separated into distinct layers. They are hardly ____ many chondrites experience aqueous alteration as a result of exposure to fluids, as well as fracturing, veining, and localized melting due to collisions with other objects.

A. pristine, though
B. pristine, though;
C. pristine; though
D. pristine, though,",B,,Hard,,,,"Comma before ""though"" and semicolon after it correctly join the clauses."
"In the canon of North African literature, Moroccan author Driss Chraibi's 1954 novel The Simple Past (Le Passe simple) looms large. A coming‑of‑age story, a social meditation, and a sober gaze into the dark maw of French colonialism, ____ interrogates systemic power with memorable intensity.

A. Morocco gained its independence two years before the publication of Chraibi's debut novel, which
B. Chraibi's debut novel, published two years before Morocco gained its independence,
C. Chraibi wrote a debut novel that, published two years before Morocco gained its independence,
D. published two years before Morocco gained its independence, Chraibi wrote a debut novel that",B,,Hard,,,,"""Chraibi's debut novel"" is placed immediately after the modifying phrase."
"When writing The Other Black Girl (2021), novelist Zakiya Dalila Harris drew on her own experiences working at a publishing office. The award‑winning book is Harris's first novel, but her writing ____ honored before. At the age of twelve, she entered a contest to have a story published in American Girl magazine‑ and won.

A. were
B. have been
C. has been
D. are",C,,Easy,,,,"Singular verb ""has been"" agrees with singular subject ""writing."""
"The forty‑seven geothermal springs of Arkansas Hot Springs National Park are sourced via a process known as natural groundwater recharge, in which rainwater percolates downward through the earth‑ in this case, the porous rocks of the hills around Hot ____ collect in a subterranean basin.

A. Springs to
B. Springs: to
C. Springs‑to
D. Springs, to",C,,Medium,,,,"Dash after ""Springs"" pairs with the dash after ""earth."""
"In 1959, the film industry debuted Smell‑O‑Vision. Theaters were fitted with specialized vents that emitted odors at specific points in a ____ as the scent of roses when roses appeared in a scene. Smell‑O‑Vision failed to impress, however, with one reviewer declaring it ""briefly weird and not very interesting.""

A. movie such
B. movie; such
C. movie. Such
D. movie, such",D,,Easy,,,,Comma separates the nonessential descriptive aside.
"In winter, the diets of Japanese macaques, also known as snow monkeys, are influenced more by food availability than by food preference. Although the monkeys prefer to eat vegetation and land‑dwelling invertebrates, those food sources may become unavailable because of extensive snow and ice cover, ____ the monkeys to hunt for marine animals in any streams that have not frozen over.

A. forces
B. to force
C. forcing
D. forced",C,,Easy,,,,"Present participle ""forcing"" forms a participial phrase."
"In 2010, archaeologist Noel Hidalgo Tan was visiting the twelfth‑century temple of Angkor Wat in Cambodia when he noticed markings of red paint on the temple ____ the help of digital imaging techniques, he discovered the markings to be par t of an elaborate mural containing over 200 paintings.

A. walls, with
B. walls with
C. walls so with
D. walls. With",D,,Medium,,,,Period marks boundary between two sentences.
"According to Naomi Nakayama of the University of Edinburgh, the reason seeds from a dying dandelion appear to float in the air while ____ is that their porous plumes enhance drag, allowing the seeds to stay airborne long enough for the wind to disperse them throughout the surrounding area.

A. falling,
B. falling:
C. falling;
D. falling",D,,Medium,,,,"No punctuation after ""falling"" in the middle of a clause."
"In his Naturalis historia, Pliny the Elder praised Hipparchus's star catalog, a second‑century BCE list of roughly 850 different stars' celestial positions. For centuries, scholars dreamed about locating a copy of this legendary lost ____ fantasy (par tially) became reality in 2022, when researchers uncovered traces of the star catalog on a palimpsest, a reused parchment.

A. work, that
B. work that
C. work. That
D. work and that",C,,Medium,,,,Period marks boundary between two sentences.
"Azulejos, mosaics made of glazed ceramic tiles, can be found throughout Por tugal. These mosaics beautify places such as ____ stations, and public squares.

A. libraries train
B. libraries: train
C. libraries—train
D. libraries, train",D,,Easy,,,,Comma separates items in a simple series.
"Jetties—long, narrow structures that extend from a landmass into the water—are often constructed to protect coastlines from erosion. Jetties can sometimes have the opposite ____ obstructing the natural flow of sand along the shore can lead to increased erosion in some areas.

A. effect, though;
B. effect, though
C. effect; though
D. effect, though,",A,,Hard,,,,"Comma before ""though"" and semicolon after it correctly join the clauses."
"Planetary scientist Briony Horgan and her colleagues have determined that as much as 25 percent of the sand on Mars is composed of impact spherules. These spherical bits of glass form when asteroids collide with the planet, ejecting bits of molten rock into the atmosphere that, after cooling and solidifying into glass, ____ back onto Mars's surface.

A. to rain
B. raining
C. having rained
D. rain",D,,Hard,,,,"Conjugated finite verb ""rain"" is required for the relative clause."
"Lê Lương Minh became the thir teenth secretary‑general of the Association of Southeast Asian Nations (ASEAN) in January 2013, making ____ the first time the organization would appoint a Vietnamese leader.

A. these
B. those
C. this
D. some",C,,Easy,,,,"Singular pronoun ""this"" agrees with the singular antecedent."
"In 1727, dramatist Lewis Theobald presented a new play, Double Falsehood, at a London theater. Theobald claimed that his drama was based on a little‑known play by William Shakespeare, Cardenio. Many, including poet Alexander Pope, were ____ historians have determined that Shakespeare's company did perform a play called Cardenio in 1613.

A. skeptical but
B. skeptical, but
C. skeptical,
D. skeptical",B,,Medium,,,,"Comma + ""but"" joins two independent clauses."
"Mathematician Grigori Perelman, sometimes in conjunction with mathematicians Richard S. Hamilton and Shing‑Tung Yau, ____ credited with proving the Poincaré conjecture. Having built on Hamilton's previous work to solve the proof, Perelman has insisted that Hamilton receive credit. Yau later found and closed gaps in Perelman's proof, persuading some mathematicians that he deserves credit as well.

A. are
B. have been
C. are being
D. is",D,,Hard,,,,"Singular verb ""is"" agrees with singular subject ""Grigori Perelman."""
"Compared to that of alumina glass, ____ silica glass atoms are so far apar t that they are unable to re‑form bonds after being separated.

A. silica glass is at a significant disadvantage due to its more dispersed atomic arrangement:
B. silica glass has a more dispersed atomic arrangement, resulting in a significant disadvantage:
C. a significant disadvantage of silica glass is that its atomic arrangement is more dispersed:
D. silica glass's atomic arrangement is more dispersed, resulting in a significant disadvantage:",D,,Hard,,,,"""silica glass's atomic arrangement"" is placed immediately after the modifying phrase."
"Robin Wall Kimmerer of the Citizen Potawatomi Nation is a bryologist, a plant scientist who specializes in mosses. To Kimmerer, mosses are Ear th's most adaptable plants: they can clone ____ enter a dormant state in times of drought, and grow in areas that don't have soil.

A. themselves;
B. themselves,
C. themselves. And
D. themselves",B,,Easy,,,,Comma separates items in a simple series.
"The Tantaquidgeon Museum in Uncasville, Connecticut, was founded in 1931 with the goal of showcasing the culture and history of the Mohegan ____ today, nearly a century later, it is the oldest Native‑owned and ‑operated museum in the country.

A. Tribe, and
B. Tribe
C. Tribe and
D. Tribe,",A,,Hard,,,,"Comma + ""and"" joins two independent clauses."
"For thousands of years, humans have used domesticated goats (Capra hircus) to clear land of unwanted vegetation. When it comes to their diets, goats are notoriously ____ they will devour all kinds of shrubs and weeds, leaving vir tually no par t of any plant unconsumed.

A. indiscriminate and
B. indiscriminate,
C. indiscriminate
D. indiscriminate:",D,,Hard,,,,Colon marks the boundary and introduces the explanation.
"On March 27, 2004, after nine years as a professional boxer, Isra Girgrah retired. The Yemeni American athlete ____ her career with a record of twenty‑eight wins, three losses, and two ties.

A. finish
B. has been finishing
C. finished
D. will be finishing",C,,Easy,,,,"Past tense ""finished"" matches ""retired."""
"Food and the sensation of taste are central to Monique Truong's novels. In The Book of Salt, for example, the exiled character of Bình connects to his native Saigon through the food he prepares, while in Bitter in the Mouth, the character of Linda ____ a form of synesthesia whereby the words she hears evoke tastes.

A. experienced
B. had experienced
C. experiences
D. will be experiencing",C,,Easy,,,,"Present tense ""experiences"" is consistent with literary discussion."
"Ear th is not a perfect sphere. Due to the ____ gravitational pull, Ear th bulges out on the sides closest to and far thest from the Moon. This distor ting pull is known as a tidal force, and it is responsible for the changes in water levels that are called high and low tides.

A. Moon's
B. Moons
C. Moons'
D. Moon",A,,Easy,,,,"Singular possessive ""Moon's"" is correct."
"Nigerian American ar tist Toyin Ojih Odutola uses black‑ink pens to create highly detailed drawings of human figures. Her por trait of novelist Zadie ____ is displayed in the National Por trait Gallery in London.

A. Smith:
B. Smith—
C. Smith
D. Smith,",C,,Medium,,,,No punctuation between subject and verb.
"In Death Valley National Park's Racetrack Playa, a flat, dry lakebed, are 162 rocks—some weighing less than a pound but others almost 700 pounds—that move periodically from place to place, seemingly of their own volition. Racetrack‑like trails in the ____ mysterious migration.

A. playas sediment mark the rock's
B. playa's sediment mark the rocks
C. playa's sediment mark the rocks'
D. playas' sediment mark the rocks'",C,,Medium,,,,"Singular possessive ""playa's"" and plural possessive ""rocks'"" are correct."
"The human brain is primed to recognize faces—so much so that, due to a perceptual tendency called pareidolia, ____ will even find faces in clouds, wooden doors, pieces of fruit, and other faceless inanimate objects. Researcher Susan Magsamen has focused her work on better understanding this everyday phenomenon.

A. she
B. they
C. it
D. those",C,,Medium,,,,"Singular pronoun ""it"" agrees with ""the human brain."""
"The poem Beowulf begins with the word ""hwæt,"" which is an Old English ____ as ""hark!"" or ""listen!"" in some versions, the word was playfully rendered as ""bro!"" by Maria Dahvana Headley in her 2020 translation of the poem.

A. exclamation, translated
B. exclamation and translated
C. exclamation translated
D. exclamation. Translated",D,,Hard,,,,Period marks boundary between two sentences.
"In 2016, engineer Vanessa Galvez oversaw the installation of 164 bioswales, vegetated channels designed to absorb and diver t stormwater, along the streets of Queens, New York. By reducing the runoff flowing into city sewers, ____

A. the mitigation of both street flooding and the resulting pollution of nearby waterways has been achieved by bioswales.
B. the bioswales have mitigated both street flooding and the resulting pollution of nearby waterways.
C. the bioswales' mitigation of both street flooding and the resulting pollution of nearby waterways has been achieved.
D. both street flooding and the resulting pollution of nearby waterways have been mitigated by bioswales.",B,,Hard,,,,"""the bioswales"" is placed immediately after the modifying phrase."
"Official measurements of the Mississippi River's length vary: according to the US Geologic Survey, the river is 2,300 miles long, whereas the Environmental Protection Agency records its length as 2,320 miles. This disparity can be explained in par t by the fact that rivers such as the Mississippi expand and contract as ____ sediment.

A. they accumulate
B. one accumulates
C. it accumulates
D. we accumulate",A,,Medium,,,,"Plural pronoun ""they"" agrees with ""rivers."""
"In 1976, the Inuit rock group Sikumiut recorded the album People of the Ice. Though only their first record, it shows a band already skilled at the difficult task of making music that sounds easy and fun. On songs like ""Utirumavunga,"" Lucassie Koperqualuk's guitar riffs effor tlessly ____ Charlie Adams's delightfully catchy vocal melodies.

A. blend, with
B. blend. With
C. blend; with
D. blend with",D,,Easy,,,,No punctuation between verb and prepositional phrase.
"Nigerian author Buchi Emecheta's celebrated literary oeuvre includes The Joys of Motherhood, a novel about the changing roles of women in 1950s ____ a television play about the private struggles of a newlywed couple in Nigeria; and Head Above Water, her autobiography.

A. Lagos, A Kind of Marriage,
B. Lagos; A Kind of Marriage,
C. Lagos, A Kind of Marriage:
D. Lagos; A Kind of Marriage",B,,Hard,,,,Semicolon separates items in a complex series.
"Richard Spikes was a prolific African American inventor known for his contributions to automotive engineering. Between 1907 and 1946, he patented many inventions, ____ an automobile turn signal, a safety brake, and—most famously—the first automatic gearshift.

A. included
B. includes
C. including
D. will include",C,,Easy,,,,"Present participle ""including"" forms a supplementary phrase."
